Country,Year,Health Expenditure,Life Expectancy,GDP Per Capita,LOCATION
Australia,1976,406.043,72.8,61631.9388,AUS
Australia,1981,668.212,74.8,61631.9388,AUS
Australia,1982,705.505,74.6,61631.9388,AUS
Australia,1983,757.41,75.4,61631.9388,AUS
Australia,1984,803.836,75.7,61631.9388,AUS
Australia,1985,855.498,75.5,61631.9388,AUS
Australia,1986,904.542,76.0,61631.9388,AUS
Australia,1987,952.647,76.2,61631.9388,AUS
Australia,1988,1027.927,76.2,61631.9388,AUS
Australia,1989,1097.364,76.4,61631.9388,AUS
Australia,1990,1166.26,76.9,61631.9388,AUS
Australia,1991,1234.372,77.3,61631.9388,AUS
Australia,1992,1305.536,77.4,61631.9388,AUS
Australia,1993,1373.205,77.9,61631.9388,AUS
Australia,1994,1454.566,77.9,61631.9388,AUS
Australia,1995,1537.471,77.8,61631.9388,AUS
Australia,1996,1642.967,78.1,61631.9388,AUS
Australia,1997,1727.783,78.4,61631.9388,AUS
Australia,1998,1839.209,78.6,61631.9388,AUS
Australia,1999,1956.897,78.9,61631.9388,AUS
Australia,2000,2153.292,79.2,61631.9388,AUS
Australia,2001,2290.69,79.6,61631.9388,AUS
Australia,2002,2481.046,79.9,61631.9388,AUS
Australia,2003,2578.709,80.2,61631.9388,AUS
Australia,2004,2818.137,80.5,61631.9388,AUS
Australia,2005,2872.44,80.8,61631.9388,AUS
Australia,2006,2996.396,81.0,61631.9388,AUS
Australia,2007,3199.837,81.3,61631.9388,AUS
Australia,2008,3350.144,81.4,61631.9388,AUS
Australia,2009,3417.833,81.5,61631.9388,AUS
Australia,2010,3593.395,81.7,61631.9388,AUS
Australia,2011,3809.112,81.9,61631.9388,AUS
Australia,2012,3854.19,82.0,61631.9388,AUS
Australia,2013,4087.849,82.1,61631.9388,AUS
Australia,2014,4562.73,82.3,61631.9388,AUS
Australia,2015,4777.388,82.4,61631.9388,AUS
Australia,2016,5037.334,82.4,61631.9388,AUS
Australia,2017,5075.384,82.5,61631.9388,AUS
Australia,2018,5193.845,82.7,61631.9388,AUS
Australia,2019,5130.234,82.9,61631.9388,AUS
Australia,2020,5627.315,83.2,61631.9388,AUS
Austria,1970,173.391,70.1,58338.848817,AUT
Austria,1971,189.271,70.3,58338.848817,AUT
Austria,1972,209.236,70.7,58338.848817,AUT
Austria,1973,237.846,71.2,58338.848817,AUT
Austria,1974,283.17,71.2,58338.848817,AUT
Austria,1975,387.066,71.4,58338.848817,AUT
Austria,1976,439.489,71.8,58338.848817,AUT
Austria,1977,486.171,72.2,58338.848817,AUT
Austria,1978,545.92,72.3,58338.848817,AUT
Austria,1979,624.629,72.6,58338.848817,AUT
Austria,1980,710.874,72.7,58338.848817,AUT
Austria,1981,659.718,73.0,58338.848817,AUT
Austria,1982,704.081,73.2,58338.848817,AUT
Austria,1983,736.373,73.3,58338.848817,AUT
Austria,1984,770.301,73.9,58338.848817,AUT
Austria,1985,828.948,74.1,58338.848817,AUT
Austria,1986,889.349,74.5,58338.848817,AUT
Austria,1987,982.732,75.0,58338.848817,AUT
Austria,1988,1051.142,75.5,58338.848817,AUT
Austria,1989,1162.766,75.6,58338.848817,AUT
Austria,1990,1482.281,75.8,58338.848817,AUT
Austria,1991,1585.776,75.9,58338.848817,AUT
Austria,1992,1706.858,76.1,58338.848817,AUT
Austria,1993,1849.904,76.3,58338.848817,AUT
Austria,1994,2017.289,76.7,58338.848817,AUT
Austria,1995,2086.13,76.9,58338.848817,AUT
Austria,1996,2160.519,77.1,58338.848817,AUT
Austria,1997,2265.214,77.5,58338.848817,AUT
Austria,1998,2428.152,77.9,58338.848817,AUT
Austria,1999,2569.344,78.1,58338.848817,AUT
Austria,2000,2803.905,78.3,58338.848817,AUT
Austria,2001,2859.074,78.8,58338.848817,AUT
Austria,2002,3101.021,78.9,58338.848817,AUT
Austria,2003,3198.001,78.8,58338.848817,AUT
Austria,2004,3410.974,79.3,58338.848817,AUT
Austria,2005,3475.868,79.5,58338.848817,AUT
Austria,2006,3634.95,80.1,58338.848817,AUT
Austria,2007,3795.642,80.3,58338.848817,AUT
Austria,2008,4009.307,80.6,58338.848817,AUT
Austria,2009,4090.209,80.5,58338.848817,AUT
Austria,2010,4258.99,80.7,58338.848817,AUT
Austria,2011,4345.158,81.1,58338.848817,AUT
Austria,2012,4588.344,81.1,58338.848817,AUT
Austria,2013,4767.083,81.3,58338.848817,AUT
Austria,2014,4858.332,81.6,58338.848817,AUT
Austria,2015,4943.516,81.3,58338.848817,AUT
Austria,2016,5195.532,81.8,58338.848817,AUT
Austria,2017,5315.355,81.7,58338.848817,AUT
Austria,2018,5518.538,81.8,58338.848817,AUT
Austria,2019,5624.014,82.0,58338.848817,AUT
Austria,2020,5882.745,81.3,58338.848817,AUT
Austria,2021,6693.307,81.3,58338.848817,AUT
Belgium,1970,149.573,71.0,58925.223286,BEL
Belgium,1971,164.899,71.1,58925.223286,BEL
Belgium,1972,186.303,71.4,58925.223286,BEL
Belgium,1973,224.438,71.7,58925.223286,BEL
Belgium,1974,257.393,72.0,58925.223286,BEL
Belgium,1975,335.34,72.0,58925.223286,BEL
Belgium,1976,384.687,72.2,58925.223286,BEL
Belgium,1977,446.148,72.8,58925.223286,BEL
Belgium,1978,502.708,72.8,58925.223286,BEL
Belgium,1979,562.939,73.3,58925.223286,BEL
Belgium,1980,592.436,73.3,58925.223286,BEL
Belgium,1981,668.863,73.7,58925.223286,BEL
Belgium,1982,741.748,74.0,58925.223286,BEL
Belgium,1983,786.153,73.9,58925.223286,BEL
Belgium,1984,813.539,74.5,58925.223286,BEL
Belgium,1985,865.865,74.6,58925.223286,BEL
Belgium,1986,944.824,74.8,58925.223286,BEL
Belgium,1987,1009.692,75.4,58925.223286,BEL
Belgium,1988,1111.783,75.7,58925.223286,BEL
Belgium,1989,1203.71,75.7,58925.223286,BEL
Belgium,1990,1301.908,76.2,58925.223286,BEL
Belgium,1991,1421.009,76.3,58925.223286,BEL
Belgium,1992,1525.716,76.5,58925.223286,BEL
Belgium,1993,1583.708,76.5,58925.223286,BEL
Belgium,1994,1621.74,76.8,58925.223286,BEL
Belgium,1995,1670.748,77.0,58925.223286,BEL
Belgium,1996,1768.091,77.3,58925.223286,BEL
Belgium,1997,1814.866,77.5,58925.223286,BEL
Belgium,1998,1881.66,77.6,58925.223286,BEL
Belgium,1999,2011.684,77.7,58925.223286,BEL
Belgium,2000,2298.186,77.9,58925.223286,BEL
Belgium,2001,2404.214,78.1,58925.223286,BEL
Belgium,2002,2644.145,78.2,58925.223286,BEL
Belgium,2003,2902.776,78.3,58925.223286,BEL
Belgium,2004,3086.204,79.0,58925.223286,BEL
Belgium,2005,3104.173,79.1,58925.223286,BEL
